student_id,attendance_rate,engagement_score,sentiment_label,helped_peers_score,sessions_attended,total_interactions
Student_001,100.0,39.0,positive,7.5,<3,4
Student_002,100.0,50.7,negative,17.3,<3,7
Student_003,50.0,14.0,,0,<3,0
Student_004,100.0,45.5,neutral,0.0,<3,3
Student_005,100.0,53.3,positive,26.0,<3,6
Student_006,100.0,59.8,positive,6.9,<3,9
Student_007,100.0,48.3,positive,38.6,<3,3
Student_008,100.0,48.8,neutral,40.0,<3,<3
Student_009,100.0,48.8,neutral,40.0,<3,<3
Student_010,50.0,14.0,,0,<3,0
Student_011,100.0,87.7,positive,58.9,<3,23
Student_012,100.0,49.0,neutral,0.0,<3,7
Student_013,100.0,36.8,neutral,0.0,<3,<3
Student_014,100.0,38.0,neutral,4.0,<3,<3
Student_015,100.0,94.6,positive,82.1,<3,25
Student_016,100.0,72.5,positive,49.3,<3,24
Student_017,100.0,48.8,neutral,11.1,<3,5
Student_018,100.0,38.0,neutral,4.0,<3,<3
Student_019,100.0,50.2,positive,45.0,<3,<3
Student_020,100.0,60.7,positive,50.7,<3,10
Student_021,100.0,66.1,neutral,57.0,<3,6
Student_022,100.0,69.4,neutral,38.8,<3,12
Student_023,50.0,14.0,,0,<3,0
Student_024,100.0,36.8,neutral,0.0,<3,<3
Student_025,100.0,62.9,neutral,46.2,<3,4
Student_026,100.0,54.9,neutral,31.4,<3,3
Student_027,100.0,84.5,positive,48.3,<3,20
Student_028,100.0,48.8,neutral,40.0,<3,<3
Student_029,100.0,38.0,neutral,4.0,<3,<3
Student_030,100.0,48.1,neutral,8.6,<3,3
Student_031,100.0,97.0,positive,90.0,<3,10
Student_032,100.0,83.0,neutral,43.5,<3,19
Student_033,100.0,46.7,positive,33.3,<3,<3
Student_034,50.0,14.0,,0,<3,0
Student_035,100.0,57.7,neutral,0.0,<3,10
Student_036,100.0,68.3,positive,64.4,<3,12
Student_037,100.0,37.7,positive,3.3,<3,<3
Student_038,100.0,79.7,positive,73.3,<3,11
